timestamp,outdoor_temperature_C,solar_radiation_W_m2
2019-12-15 14:00:00,-17.18,276.5
2019-12-15 15:00:00,-17.62,140.38
2019-12-15 16:00:00,-19.48,16.6
2019-12-15 17:00:00,-21.73,0.0
2019-12-15 18:00:00,-23.37,0.0
2019-12-15 19:00:00,-24.79,0.0
2019-12-15 20:00:00,-26.22,0.0
2019-12-15 21:00:00,-27.63,0.0
2019-12-15 22:00:00,-29.12,0.0
2019-12-15 23:00:00,-31.15,0.0
2019-12-16 00:00:00,-33.49,0.0
2019-12-16 01:00:00,-35.32,0.0
2019-12-16 02:00:00,-36.53,0.0
2019-12-16 03:00:00,-37.41,0.0
2019-12-16 04:00:00,-37.99,0.0
2019-12-16 05:00:00,-38.39,0.0
2019-12-16 06:00:00,-38.74,0.0
2019-12-16 07:00:00,-38.75,80.65
2019-12-16 08:00:00,-36.55,248.4
2019-12-16 09:00:00,-31.13,409.0
2019-12-16 10:00:00,-26.69,531.25
2019-12-16 11:00:00,-22.46,636.58
2019-12-16 12:00:00,-18.87,597.22
2019-12-16 13:00:00,-16.85,437.62
2019-12-16 14:00:00,-16.73,306.55
2019-12-16 15:00:00,-17.38,147.2
2019-12-16 16:00:00,-19.34,18.3
2019-12-16 17:00:00,-21.76,0.0
2019-12-16 18:00:00,-23.55,0.0
2019-12-16 19:00:00,-24.97,0.0
2019-12-16 20:00:00,-26.26,0.0
2019-12-16 21:00:00,-27.53,0.0
2019-12-16 22:00:00,-28.87,0.0
2019-12-16 23:00:00,-30.19,0.0
2019-12-17 00:00:00,-31.52,0.0
2019-12-17 01:00:00,-32.91,0.0
2019-12-17 02:00:00,-34.57,0.0
2019-12-17 03:00:00,-36.42,0.0
2019-12-17 04:00:00,-38.05,0.0
2019-12-17 05:00:00,-39.02,0.0
2019-12-17 06:00:00,-39.34,0.0
2019-12-17 07:00:00,-38.74,88.45
2019-12-17 08:00:00,-36.64,267.38
2019-12-17 09:00:00,-31.52,432.85
2019-12-17 10:00:00,-27.03,551.42
2019-12-17 11:00:00,-22.65,614.88
2019-12-17 12:00:00,-19.45,537.62
2019-12-17 13:00:00,-17.72,454.4
